,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,9240,BTCUSDT,0.0,-0.027611520000000004,999.97238848,0.016,8628.6,0.016,8628.6,entry_initial_normal_long
1,9245,BTCUSDT,0.7280999999999966,-0.0156771,1000.6848113799999,-0.009,8709.5,0.007,8628.6,close_trailing_long
2,9250,BTCUSDT,0.49979999999999747,-0.01218,1001.1724313799999,-0.007,8700.0,0.0,8628.6,close_trailing_long
3,23057,BTCUSDT,0.0,-0.027435300000000003,1001.1449960799999,0.015,9145.1,0.015,9145.1,entry_initial_normal_long
4,23057,BTCUSDT,0.0,-0.030263400000000003,1001.11473268,0.017,8901.0,0.032,9015.421875,entry_grid_normal_long
5,23058,BTCUSDT,0.0,-0.07883459999999999,1001.0358980799999,0.045,8759.4,0.077,8865.7987012987,entry_grid_inflated_long
6,23063,BTCUSDT,0.0,-0.006837200000000001,1001.02906088,0.004,8546.5,0.081,8850.03086419753,entry_trailing_cropped_long
7,23158,BTCUSDT,-0.12083086419752909,-0.0017458400000000002,1000.9064841758025,-0.001,8729.2,0.08,8850.03086419753,close_unstuck_long
8,23165,BTCUSDT,-0.14133086419752908,-0.00174174,1000.7634115716049,-0.001,8708.7,0.079,8850.03086419753,close_unstuck_long
9,23170,BTCUSDT,-0.15563086419753017,-0.0017388800000000002,1000.6060418274074,-0.001,8694.4,0.078,8850.03086419753,close_unstuck_long
10,23171,BTCUSDT,-0.1380308641975298,-0.0017424,1000.4662685632098,-0.001,8712.0,0.077,8850.03086419753,close_unstuck_long
11,23176,BTCUSDT,-0.17213086419753018,-0.00173558,1000.2924021190123,-0.001,8677.9,0.076,8850.03086419753,close_unstuck_long
12,23179,BTCUSDT,-0.1806308641975302,-0.00173388,1000.1100373748147,-0.001,8669.4,0.075,8850.03086419753,close_unstuck_long
13,23180,BTCUSDT,-0.1795308641975298,-0.0017341000000000001,999.9287724106172,-0.001,8670.5,0.074,8850.03086419753,close_unstuck_long
14,23181,BTCUSDT,-0.1750308641975298,-0.0017350000000000002,999.7520065464197,-0.001,8675.0,0.073,8850.03086419753,close_unstuck_long
15,23183,BTCUSDT,-0.19163086419753017,-0.0017316800000000002,999.5586440022222,-0.001,8658.4,0.072,8850.03086419753,close_unstuck_long
