,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,wallet_exposure,total_wallet_exposure,minute,btc_total_balance
0,4130,2025-01-06 20:50:00,HYPE,0.0,-0.009412788,999.990587212,0.0,999.990587212,101901.6,1.83,25.718,1.83,25.718,entry_initial_normal_long,0.0470643830070596,0.0470643830070596,4130,0.009813296230991466
1,4178,2025-01-06 21:38:00,HYPE,0.058560000000000056,-0.0094245,1000.0397227120001,0.0,1000.0397227120001,101696.9,-1.83,25.75,0.0,25.718,close_trailing_long,0.0,0.0,4178,0.009833532022234701
2,4200,2025-01-06 22:00:00,HYPE,0.0,-0.009417610000000002,1000.030305102,0.0,1000.030305102,101582.9,1.85,25.453,1.85,25.453,entry_initial_normal_long,0.04708662303508609,0.04708662303508609,4200,0.00984447485848504
3,4224,2025-01-06 22:24:00,HYPE,0.0,-0.013917556,1000.016387546,0.0,1000.016387546,101891.5,2.74,25.397,4.59,25.419570806100218,entry_trailing_normal_long,0.11667391800080175,0.11667391800080175,4224,0.009814522188268894
4,4232,2025-01-06 22:32:00,HYPE,0.0,-0.03464736,999.981740186,0.0,999.981740186,101870.7,6.8,25.476,11.39,25.45325987708516,entry_trailing_normal_long,0.2899179238473647,0.2899179238473647,4232,0.009816186010167791
5,4372,2025-01-07 00:52:00,HYPE,0.0,-0.08583817599999999,999.89590201,0.0,999.89590201,102111.1,16.88,25.426,28.27,25.43698302087018,entry_trailing_normal_long,0.7191783750232914,0.7191783750232914,4372,0.009792235143975531
6,4381,2025-01-07 01:01:00,HYPE,0.3114500000000247,-0.143882992,1000.063469018,0.0,1000.063469018,101892.4,-28.27,25.448,0.0,25.43698302087018,close_trailing_long,0.0,0.0,4381,0.009814897568591966
7,5013,2025-01-07 11:33:00,HYPE,0.0,-0.00945646,1000.054012558,0.0,1000.054012558,101152.6,1.85,25.558,1.85,25.558,entry_initial_normal_long,0.04727974629996075,0.04727974629996075,5013,0.0098865873201282
8,5038,2025-01-07 11:58:00,HYPE,0.0,-0.013920296000000002,1000.0400922619999,0.0,1000.0400922619999,100875.9,2.74,25.402,4.59,25.464875816993466,entry_trailing_normal_long,0.11687909405273893,0.11687909405273893,5038,0.009913567980677248
9,5051,2025-01-07 12:11:00,HYPE,0.49628999999999324,-0.023476014000000003,1000.5129062479999,0.0,1000.5129062479999,100770.2,-4.59,25.573,0.0,25.464875816993466,close_trailing_long,0.0,0.0,5051,0.009928658534447684
