,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,142,DOGE,0.0,-0.036485332,999.963514668,442.0,0.41273,442.0,0.41273,entry_initial_normal_long
1,145,DOGE,1.1711600000000109,-0.022356560000000004,1001.1123181080001,-268.0,0.4171,174.0,0.41273,close_trailing_long
2,182,DOGE,0.0,-0.016565616000000002,1001.0957524920001,201.0,0.41208,375.0,0.4123816,entry_initial_partial_long
3,203,DOGE,-0.036320000000000796,-0.016488,1001.0429444920001,-200.0,0.4122,175.0,0.4123816,close_trailing_long
4,214,DOGE,0.007818400000000003,-8.404e-05,1001.050678852,-1.0,0.4202,174.0,0.4123816,close_trailing_long
5,362,DOGE,0.0,-0.016882602,1001.03379625,209.0,0.40389,383.0,0.40774780261096605,entry_initial_partial_long
6,387,DOGE,0.0,-0.032873778000000006,1001.0009224720001,417.0,0.39417,800.0,0.400670373,entry_grid_normal_long
7,439,DOGE,0.7577023099999941,-0.042622600000000004,1001.716002182,-530.0,0.4021,270.0,0.400670373,close_trailing_long
8,443,DOGE,-0.05133357000000116,-0.0072018,1001.657466812,-90.0,0.4001,180.0,0.400670373,close_trailing_long
9,482,DOGE,0.007429626999999994,-8.162000000000001e-05,1001.6648148190001,-1.0,0.4081,179.0,0.400670373,close_trailing_long
10,670,DOGE,5.260743232999995,-0.015396148,1006.9101619040001,-179.0,0.43006,0.0,0.400670373,close_grid_long
11,1464,DOGE,0.0,-0.036722224000000005,1006.8734396800002,451.0,0.40712,451.0,0.40712,entry_initial_normal_long
12,1472,DOGE,0.7316400000000043,-0.022375080000000002,1007.5827046000002,-273.0,0.4098,178.0,0.40712,close_trailing_long
13,1479,DOGE,0.0,-0.01670866,1007.5659959400002,206.0,0.40555,384.0,0.4062777604166667,entry_initial_partial_long
14,1499,DOGE,0.49898135416666367,-0.01683844,1008.0481388541668,-206.0,0.4087,178.0,0.4062777604166667,close_trailing_long
15,1654,DOGE,0.0,-0.01685334,1008.0312855141668,210.0,0.40127,388.0,0.4035673746241409,entry_initial_partial_long
16,1707,DOGE,0.2979860781787016,-0.016848000000000002,1008.3124235923456,-208.0,0.405,180.0,0.4035673746241409,close_trailing_long
17,1720,DOGE,-0.0012373746241408634,-8.046600000000001e-05,1008.3111057517215,-1.0,0.40233,179.0,0.4035673746241409,close_trailing_long
18,1868,DOGE,0.0,-0.01715912,1008.2939466317215,220.0,0.38998,399.0,0.3960755891170957,entry_initial_partial_long
19,1903,DOGE,0.0,-0.033233116,1008.2607135157215,434.0,0.38287,833.0,0.3891953662157518,entry_grid_normal_long
20,1957,DOGE,0.3319439475522549,-0.04280004,1008.5498574232737,-549.0,0.3898,284.0,0.3891953662157518,close_trailing_long
21,1964,DOGE,-0.028945889143673353,-0.00762244,1008.5132890941301,-98.0,0.3889,186.0,0.3891953662157518,close_trailing_long
22,2312,DOGE,0.0,-0.017198358000000004,1008.4960907361301,229.0,0.37551,415.0,0.38164368220754175,entry_initial_partial_long
23,2321,DOGE,0.0,-0.033350368000000005,1008.4627403681301,452.0,0.36892,867.0,0.37501034384790055,entry_grid_normal_long
24,2323,DOGE,-0.4618959933033273,-0.0426588,1007.9581855748268,-570.0,0.3742,297.0,0.37501034384790055,close_trailing_long
25,2326,DOGE,0.2797242398183406,-0.007856160000000001,1008.2300536546451,-104.0,0.3777,193.0,0.37501034384790055,close_trailing_long
26,2368,DOGE,0.0,-0.016735488000000003,1008.2133181666451,224.0,0.37356,417.0,0.3742312622605391,entry_initial_partial_long
27,2384,DOGE,0.3052285158997785,-0.01675176,1008.5017949225448,-223.0,0.3756,194.0,0.3742312622605391,close_trailing_long
28,2410,DOGE,0.009268737739460908,-7.670000000000001e-05,1008.5109869602843,-1.0,0.3835,193.0,0.3742312622605391,close_trailing_long
