,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
19,67249,ETH,0.0,-0.029128372000000003,1004.9457776319999,0.602,241.93,0.96,244.39870833333333,entry_grid_normal_long
20,67255,ETH,-0.3731600000000071,-0.046849919999999996,1004.525767712,-0.96,244.01,0.0,244.39870833333333,close_trailing_long
21,67256,ETH,0.0,-0.01776966,1004.507998052,0.365,243.42,0.365,243.42,entry_initial_normal_long
22,67261,ETH,0.48910000000000126,-0.017867479999999998,1004.979230572,-0.365,244.76,0.0,243.42,close_trailing_long
23,67262,ETH,0.0,-0.01778207,1004.961448502,0.365,243.59,0.365,243.59,entry_initial_normal_long
24,67268,ETH,1.7702499999999979,-0.018136120000000002,1006.7135623820001,-0.365,248.44,0.0,243.59,close_trailing_long
25,71867,ETH,0.0,-0.01783028,1006.6957321020001,0.34,262.21,0.34,262.21,entry_initial_normal_long
26,71869,ETH,0.0,-0.029147265999999998,1006.6665848360001,0.571,255.23,0.911,257.83504939626783,entry_grid_normal_long
27,71869,ETH,0.0,-0.076678604,1006.5899062320001,1.531,250.42,2.442,253.18622031122027,entry_grid_normal_long
28,71874,ETH,20.243280843570986,-0.12061559200000002,1026.712571483571,-2.302,261.98,0.14,253.18622031122027,close_trailing_long
29,71878,ETH,1.197529156429164,-0.007328720000000001,1027.9027719200003,-0.14,261.74,0.0,253.18622031122027,close_trailing_long
30,71882,ETH,0.0,-0.01818639,1027.8845855300003,0.349,260.55,0.349,260.55,entry_initial_normal_long
31,71889,ETH,-0.23732000000000236,-0.018138926,1027.6291266040002,-0.349,259.87,0.0,260.55,close_trailing_long
32,81617,ETH,0.0,-0.018184032,1027.6109425720003,0.412,220.68,0.412,220.68,entry_initial_normal_long
33,81620,ETH,-0.23072000000000092,-0.018137887999999998,1027.3620846840004,-0.412,220.12,0.0,220.68,close_trailing_long
34,81621,ETH,0.0,-0.018199410000000003,1027.3438852740003,0.415,219.27,0.415,219.27,entry_initial_normal_long
35,81625,ETH,0.7469999999999929,-0.018348809999999997,1028.0725364640002,-0.415,221.07,0.0,219.27,close_trailing_long
36,81644,ETH,0.0,-0.018200832,1028.0543356320002,0.416,218.76,0.416,218.76,entry_initial_normal_long
37,81649,ETH,-0.008319999999992432,-0.018199168,1028.0278164640001,-0.416,218.74,0.0,218.76,close_trailing_long
38,82146,ETH,0.0,-0.018221346,1028.009595118,0.429,212.37,0.429,212.37,entry_initial_normal_long
39,82148,ETH,-0.23595000000000488,-0.018174156,1027.7554709620001,-0.429,211.82,0.0,212.37,close_trailing_long
