,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,241,SOL,0.0,-0.035076,999.964924,74.0,2.37,74.0,2.37,entry_initial_normal_long
1,960,SOL,0.0,-0.04365,999.921274,97.0,2.25,171.0,2.3019298245614035,entry_grid_normal_long
2,1467,SOL,-0.3632456140350966,-0.037679,999.5203493859649,-82.0,2.2975,89.0,2.3019298245614035,close_trailing_long
3,3126,SOL,0.0,-0.05057600000000001,999.4697733859649,116.0,2.18,205.0,2.2329353872486095,entry_grid_normal_long
4,3876,SOL,0.04120124090710675,-0.050472579999999996,999.460502046872,-113.0,2.2333,92.0,2.2329353872486095,close_trailing_long
5,4322,SOL,0.0,-0.05088,999.409622046872,120.0,2.12,212.0,2.16900969635317,entry_grid_normal_long
6,4636,SOL,6.188165526679111,-0.05199246000000001,1005.5457951135511,-117.0,2.2219,95.0,2.16900969635317,close_trailing_long
7,7712,SOL,0.0,-0.051088,1005.494707113551,124.0,2.06,219.0,2.1072873112034296,entry_grid_normal_long
8,8022,SOL,-0.8817646556149712,-0.050820000000000004,1004.5621224579361,-121.0,2.1,98.0,2.1072873112034296,close_trailing_long
9,9115,SOL,0.0,-0.0512,1004.5109224579361,128.0,2.0,226.0,2.046522816362549,entry_grid_normal_long
10,9258,SOL,0.0,-0.11387000000000001,1004.3970524579361,295.0,1.93,521.0,1.9805454059461343,entry_grid_normal_long
11,10480,SOL,-2.646896892479707,-0.098894,1001.6512615654564,-251.0,1.97,270.0,1.9805454059461343,close_trailing_long
12,10993,SOL,16.343462612941742,-0.06902280000000001,1017.9257013783981,-166.0,2.079,104.0,1.9805454059461343,close_trailing_long
13,11369,SOL,0.0,-0.051136,1017.8745653783981,136.0,1.88,240.0,1.9235696759099916,entry_grid_normal_long
14,11500,SOL,-0.46762754420891106,-0.050304,1017.3566338341892,-131.0,1.92,109.0,1.9235696759099916,close_trailing_long
15,11665,SOL,-0.010709027729975062,-0.001152,1017.3447728064592,-3.0,1.92,106.0,1.9235696759099916,close_trailing_long
16,16802,SOL,0.0,-0.05059600000000001,1017.2941768064592,139.0,1.82,245.0,1.8648097373324863,entry_grid_normal_long
17,18099,SOL,-0.6396950652206701,-0.049476000000000006,1016.6050057412385,-133.0,1.86,112.0,1.8648097373324863,close_trailing_long
18,18230,SOL,0.0,-0.05168400000000001,1016.5533217412385,146.0,1.77,258.0,1.811157715431157,entry_grid_normal_long
19,18266,SOL,0.0,-0.115254,1016.4380677412385,337.0,1.71,595.0,1.7538633455146866,entry_grid_normal_long
20,18279,SOL,0.0,-0.20505400000000001,1016.2330137412384,629.0,1.63,1224.0,1.6902113485140835,entry_grid_cropped_long
21,18707,SOL,-2.119181857196871,-0.10031276,1014.0135191240415,-298.0,1.6831,926.0,1.6902113485140835,close_trailing_long
22,18861,SOL,-0.5082705086828323,-0.1002969,1013.4049517153587,-297.0,1.6885,629.0,1.6902113485140835,close_trailing_long
23,19040,SOL,-3.032770508682818,-0.099792,1010.2723892066759,-297.0,1.68,332.0,1.6902113485140835,close_trailing_long
24,19390,SOL,-1.6952718394434665,-0.07031178,1008.5068055872325,-209.0,1.6821,123.0,1.6902113485140835,close_trailing_long
25,19403,SOL,-0.026134045542250517,-0.0010089,1008.4796626416903,-3.0,1.6815,120.0,1.6902113485140835,close_trailing_long
26,20344,SOL,0.0,-0.05024000000000001,1008.4294226416903,157.0,1.6,277.0,1.639080728598159,entry_grid_normal_long
27,20592,SOL,0.0,-0.11149600000000001,1008.3179266416903,362.0,1.54,639.0,1.5829504879838654,entry_grid_normal_long
28,20652,SOL,0.0,-0.208152,1008.1097746416903,708.0,1.47,1347.0,1.5235823027629474,entry_grid_cropped_long
29,20658,SOL,4.040204693753276,-0.10075504000000002,1012.0492242954435,-328.0,1.5359,1019.0,1.5235823027629474,close_trailing_long
30,20671,SOL,18.100822390990317,-0.10387188000000001,1030.0461748064338,-329.0,1.5786,690.0,1.5235823027629474,close_trailing_long
31,20680,SOL,15.583428574412647,-0.10519670000000002,1045.5244066808464,-335.0,1.5701,355.0,1.5235823027629474,close_trailing_long
