,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
40,79778,CRVUSDT,0.4730397753500532,-0.0023405,1178.0265272966985,-15.5,0.755,618.9,0.7244813048161256,close_unstuck_long
41,79779,CRVUSDT,0.47609164486844063,-0.0023556000000000002,1178.500263341567,-15.6,0.755,603.3,0.7244813048161256,close_unstuck_long
42,79780,CRVUSDT,0.5040397753500532,-0.0023467,1179.001956416917,-15.5,0.757,587.8,0.7244813048161256,close_unstuck_long
43,79781,CRVUSDT,0.5350397753500533,-0.0023529000000000002,1179.534643292267,-15.5,0.759,572.3,0.7244813048161256,close_unstuck_long
44,79782,CRVUSDT,0.5350397753500533,-0.0023529000000000002,1180.067330167617,-15.5,0.759,556.8,0.7244813048161256,close_unstuck_long
45,79783,CRVUSDT,0.5195397753500532,-0.0023498000000000004,1180.584520142967,-15.5,0.758,541.3,0.7244813048161256,close_unstuck_long
46,79785,CRVUSDT,0.47609164486844063,-0.0023556000000000002,1181.0582561878355,-15.6,0.755,525.7,0.7244813048161256,close_unstuck_long
47,79791,CRVUSDT,0.49169164486844064,-0.00235872,1181.547589112704,-15.6,0.756,510.1,0.7244813048161256,close_unstuck_long
48,79791,CRVUSDT,0.0,-0.01830712,1181.529281992704,121.4,0.754,631.5,0.7301559993455355,entry_trailing_cropped_long
49,79793,CRVUSDT,0.40316641020964555,-0.00235872,1181.9300896829136,-15.6,0.756,615.9,0.7301559993455355,close_unstuck_long
50,79794,CRVUSDT,0.40316641020964555,-0.00235872,1182.3308973731232,-15.6,0.756,600.3,0.7301559993455355,close_unstuck_long
51,79799,CRVUSDT,0.40316641020964555,-0.00235872,1182.7317050633328,-15.6,0.756,584.7,0.7301559993455355,close_unstuck_long
52,79800,CRVUSDT,0.4187664102096456,-0.00236184,1183.1481096335424,-15.6,0.757,569.1,0.7301559993455355,close_unstuck_long
53,79838,CRVUSDT,0.40316641020964555,-0.00235872,1183.548917323752,-15.6,0.756,553.5,0.7301559993455355,close_unstuck_long
54,79838,CRVUSDT,0.0,-0.01155072,1183.537366603752,76.8,0.752,630.3,0.7328176196061462,entry_trailing_cropped_long
55,79839,CRVUSDT,0.4058268961047337,-0.0023529000000000002,1183.9408405998568,-15.5,0.759,614.8,0.7328176196061462,close_unstuck_long
56,79840,CRVUSDT,0.36164513414411903,-0.00235872,1184.300127014001,-15.6,0.756,599.2,0.7328176196061462,close_unstuck_long
57,79846,CRVUSDT,0.36164513414411903,-0.00235872,1184.6594134281452,-15.6,0.756,583.6,0.7328176196061462,close_unstuck_long
58,79847,CRVUSDT,0.36164513414411903,-0.00235872,1185.0186998422894,-15.6,0.756,568.0,0.7328176196061462,close_unstuck_long
59,79848,CRVUSDT,0.36164513414411903,-0.00235872,1185.3779862564336,-15.6,0.756,552.4,0.7328176196061462,close_unstuck_long
60,79849,CRVUSDT,0.36164513414411903,-0.00235872,1185.7372726705778,-15.6,0.756,536.8,0.7328176196061462,close_unstuck_long
61,79850,CRVUSDT,0.4240451341441191,-0.0023712,1186.158946604722,-15.6,0.76,521.2,0.7328176196061462,close_unstuck_long
62,79851,CRVUSDT,0.3928451341441191,-0.00236496,1186.549426778866,-15.6,0.758,505.6,0.7328176196061462,close_unstuck_long
63,79852,CRVUSDT,0.4084451341441191,-0.0023680800000000003,1186.9555038330102,-15.6,0.759,490.0,0.7328176196061462,close_unstuck_long
64,79853,CRVUSDT,0.37724513414411903,-0.00236184,1187.3303871271544,-15.6,0.757,474.4,0.7328176196061462,close_unstuck_long
65,79854,CRVUSDT,0.3928451341441191,-0.00236496,1187.7208673012985,-15.6,0.758,458.8,0.7328176196061462,close_unstuck_long
66,79856,CRVUSDT,0.37724513414411903,-0.00236184,1188.0957505954427,-15.6,0.757,443.2,0.7328176196061462,close_unstuck_long
67,79858,CRVUSDT,0.37724513414411903,-0.00236184,1188.470633889587,-15.6,0.757,427.6,0.7328176196061462,close_unstuck_long
68,79860,CRVUSDT,0.4240451341441191,-0.0023712,1188.892307823731,-15.6,0.76,412.0,0.7328176196061462,close_unstuck_long
69,79861,CRVUSDT,0.3928451341441191,-0.00236496,1189.2827879978752,-15.6,0.758,396.4,0.7328176196061462,close_unstuck_long
70,79865,CRVUSDT,0.0,-0.03705,1189.2457379978753,247.0,0.75,643.4,0.7394139017902959,entry_trailing_cropped_long
71,79957,CRVUSDT,0.12061896153429565,-0.0023754600000000002,1189.3639814994096,-15.9,0.747,627.5,0.7394139017902959,close_unstuck_long
72,79960,CRVUSDT,0.13651896153429566,-0.00237864,1189.4981218209439,-15.9,0.748,611.6,0.7394139017902959,close_unstuck_long
73,79961,CRVUSDT,0.13651896153429566,-0.00237864,1189.632262142478,-15.9,0.748,595.7,0.7394139017902959,close_unstuck_long
74,79962,CRVUSDT,0.13651896153429566,-0.00237864,1189.7664024640123,-15.9,0.748,579.8,0.7394139017902959,close_unstuck_long
75,79964,CRVUSDT,0.13651896153429566,-0.00237864,1189.9005427855466,-15.9,0.748,563.9,0.7394139017902959,close_unstuck_long
76,79965,CRVUSDT,0.13651896153429566,-0.00237864,1190.0346831070808,-15.9,0.748,548.0,0.7394139017902959,close_unstuck_long
