,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,1401,LINKUSDT,0.0,-0.004010944,999.995989056,1.96,10.232,1.96,10.232,entry_initial_normal_long
1,1426,VETUSDT,0.0,-0.0039527382,999.9920363178,1549.0,0.012759,1549.0,0.012759,entry_initial_normal_long
2,2238,LINKUSDT,-0.9623599999999993,-0.003818472,999.0258578457999,-1.96,9.741,0.0,10.232,close_trailing_long
3,2239,LINKUSDT,0.0,-0.004002480000000001,999.0218553657999,2.04,9.81,2.04,9.81,entry_initial_normal_long
4,5285,LINKUSDT,-0.09384000000000235,-0.003983712,998.9240316537998,-2.04,9.764,0.0,9.81,close_trailing_long
5,5286,LINKUSDT,0.0,-0.004015352,998.9200163017998,2.06,9.746,2.06,9.746,entry_initial_normal_long
6,5297,VETUSDT,0.024784000000000604,-0.003957695,998.9408426067998,-1549.0,0.012775,0.0,0.012759,close_trailing_long
7,5298,VETUSDT,0.0,-0.003948948,998.9368936587998,1548.0,0.012755,1548.0,0.012755,entry_initial_normal_long
8,6084,LINKUSDT,0.0,-0.0040081480000000004,998.9328855107998,2.18,9.193,4.24,9.461674528301888,entry_grid_normal_long
9,6108,VETUSDT,-0.965952000000002,-0.0037557576,997.9631777531998,-1548.0,0.012131,0.0,0.012755,close_trailing_long
10,6109,VETUSDT,0.0,-0.003944969600000001,997.9592327835999,1628.0,0.012116,1628.0,0.012116,entry_initial_normal_long
11,6387,LINKUSDT,-2.4239000000000024,-0.007538720000000001,995.5277940635999,-4.24,8.89,0.0,9.461674528301888,close_trailing_long
12,6388,LINKUSDT,0.0,-0.0040059,995.5237881635999,2.25,8.902,2.25,8.902,entry_initial_normal_long
13,9334,VETUSDT,0.0,-0.0015751918000000001,995.5222129717998,689.0,0.011431,2317.0,0.011912303409581356,entry_grid_normal_long
14,11830,VETUSDT,0.0,-0.0021875560000000002,995.5200254157999,980.0,0.011161,3297.0,0.011688986047922354,entry_grid_normal_long
15,12022,VETUSDT,0.0,-0.0030241436000000006,995.5170012721999,1394.0,0.010847,4691.0,0.011438777446173524,entry_grid_normal_long
16,12181,LINKUSDT,0.37350000000000083,-0.0040806,995.8864206721998,-2.25,9.068,0.0,8.902,close_trailing_long
17,12182,LINKUSDT,0.0,-0.004010266,995.8824104061998,2.21,9.073,2.21,9.073,entry_initial_normal_long
18,12408,VETUSDT,0.0,-0.004155289600000001,995.8782551165998,1984.0,0.010472,6675.0,0.011151423670411985,entry_grid_normal_long
19,12772,LINKUSDT,-0.9790299999999992,-0.0038144600000000004,994.8954106565998,-2.21,8.63,0.0,9.073,close_trailing_long
20,12772,LINKUSDT,0.0,-0.004004676,994.8914059805998,2.34,8.557,2.34,8.557,entry_grid_normal_long
21,12967,VETUSDT,0.0,-0.006871662000000001,994.8845343185998,3430.0,0.010017,10105.0,0.01076635952498763,entry_grid_inflated_long
22,13753,VETUSDT,0.0,-0.0089489012,994.8755854173997,4274.0,0.010469,14379.0,0.01067797266847486,entry_trailing_normal_long
23,14381,VETUSDT,0.0,-0.013702925399999998,994.8618824919997,6081.0,0.011267,20460.0,0.010853039882697948,entry_trailing_normal_long
24,15298,VETUSDT,0.0,-0.0196146204,994.8422678715997,8653.0,0.011334,29113.0,0.010995991412770927,entry_trailing_normal_long
25,16773,VETUSDT,0.0,-0.020458688,994.8218091835997,8758.0,0.01168,37871.0,0.011154174381452827,entry_trailing_cropped_long
26,16774,VETUSDT,0.39802073705473784,-0.0017460378,995.2180838828544,-747.0,0.011687,37124.0,0.011154174381452827,close_unstuck_long
27,16775,VETUSDT,0.4047437370547381,-0.0017473824000000002,995.6210802375092,-747.0,0.011696,36377.0,0.011154174381452827,close_unstuck_long
28,16776,VETUSDT,0.4206139114361905,-0.0017483255999999998,996.0399458233454,-746.0,0.011718,35631.0,0.011154174381452827,close_unstuck_long
29,16778,VETUSDT,0.39930156267328576,-0.0017485248000000003,996.4374988612187,-748.0,0.011688,34883.0,0.011154174381452827,close_unstuck_long
30,16779,VETUSDT,0.4364400858176442,-0.00174926,996.8721896870363,-745.0,0.01174,34138.0,0.011154174381452827,close_unstuck_long
31,16780,VETUSDT,0.4468700858176443,-0.0017513460000000002,997.317308426854,-745.0,0.011754,33393.0,0.011154174381452827,close_unstuck_long
