,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,3062,DOGE,0.0,-0.036498788000000004,999.963501212,51698.0,0.00353,51698.0,0.00353,entry_initial_normal_long
1,3122,DOGE,1.7225999999999977,-0.02245644,1001.663644772,-31320.0,0.003585,20378.0,0.00353,close_trailing_long
2,3159,DOGE,0.0,-0.016705234000000003,1001.646939538,23933.0,0.00349,44311.0,0.0035083954322854367,entry_initial_partial_long
3,3160,DOGE,0.0,-0.0322409424,1001.6146985956,48236.0,0.003342,92547.0,0.0034216692275276343,entry_grid_normal_long
4,3160,DOGE,0.0,-0.066088064,1001.5486105315999,100744.0,0.00328,193291.0,0.003347830690513267,entry_grid_normal_long
5,3161,DOGE,0.0,-0.035149944,1001.5134605876,55617.0,0.00316,248908.0,0.0033058610490623035,entry_grid_cropped_long
6,3166,DOGE,-0.37607421308270406,-0.0423489,1001.0950374745173,-64165.0,0.0033,184743.0,0.0033058610490623035,close_trailing_long
7,3171,DOGE,0.97098203524199,-0.04260045960000001,1002.0234190501593,-64138.0,0.003321,120605.0,0.0033058610490623035,close_trailing_long
8,3173,DOGE,0.13731637229825244,-0.0424733968,1002.1182620256576,-64198.0,0.003308,56407.0,0.0033058610490623035,close_trailing_long
9,3179,DOGE,-0.20279815860476338,-0.02283666,1001.8926272070528,-34601.0,0.0033,21806.0,0.0033058610490623035,close_trailing_long
10,3180,DOGE,0.0,-0.016478865,1001.8761483420528,24855.0,0.003315,46661.0,0.003310729110731716,entry_initial_partial_long
11,3192,DOGE,0.6041509756661217,-0.016602964,1002.463696353719,-24892.0,0.003335,21769.0,0.003310729110731716,close_trailing_long
12,3193,DOGE,0.0,-0.0163294426,1002.447366911119,24307.0,0.003359,46076.0,0.003336194005806032,entry_initial_partial_long
13,3198,DOGE,0.38663042397864755,-0.0163986544,1002.8175986806976,-24461.0,0.003352,21615.0,0.003336194005806032,close_trailing_long
14,3199,DOGE,0.0,-0.01648267,1002.8011160106977,24601.0,0.00335,46216.0,0.003343543003191479,entry_initial_partial_long
15,3214,DOGE,1.514361858358772,-0.016780521,1004.2986973480564,-24641.0,0.003405,21575.0,0.003343543003191479,close_trailing_long
16,3560,DOGE,0.0,-0.016641342,1004.2820560060565,24987.0,0.00333,46562.0,0.0033362752951732345,entry_initial_partial_long
17,3656,DOGE,-0.03176505217492775,-0.016613636,1004.2336773178815,-24908.0,0.003335,21654.0,0.0033362752951732345,close_trailing_long
18,3660,DOGE,-0.00940666746467838,-0.000998334,1004.2232723164168,-1499.0,0.00333,20155.0,0.0033362752951732345,close_trailing_long
19,7419,DOGE,5.113821425783457,-0.01447129,1009.3226224522002,-20155.0,0.00359,0.0,0.0033362752951732345,close_grid_long
20,11132,DOGE,0.0,-0.03683904,1009.2857834122002,54820.0,0.00336,54820.0,0.00336,entry_initial_normal_long
